agent_id,n_preferences,n_evaluated_preferences,accuracy,baseline_accuracy
22455,9,9,0.4444444444444444,0.5555555555555556
22473,9,9,0.6666666666666666,0.6666666666666666
22498,9,9,1.0,0.6666666666666666
22506,9,9,0.6666666666666666,0.5555555555555556
22580,9,9,1.0,0.6666666666666666
22583,9,9,0.8888888888888888,0.7777777777777778
22586,9,9,1.0,0.6666666666666666
22599,9,9,1.0,0.5555555555555556
22616,9,9,0.8888888888888888,0.6666666666666666
22644,9,9,0.7777777777777778,0.5555555555555556
22662,9,9,0.8888888888888888,0.6666666666666666
22682,9,9,0.5555555555555556,0.5555555555555556
22762,9,9,0.7777777777777778,0.5555555555555556
22779,9,9,1.0,0.6666666666666666
22820,9,9,0.5555555555555556,0.7777777777777778
22881,9,9,0.5555555555555556,0.5555555555555556
22930,9,9,0.7777777777777778,0.5555555555555556
22933,9,9,0.2222222222222222,0.7777777777777778
22961,9,9,0.6666666666666666,0.5555555555555556
23024,9,9,0.8888888888888888,0.6666666666666666
23062,9,9,0.4444444444444444,0.6666666666666666
23066,9,9,0.7777777777777778,0.5555555555555556
23147,9,9,0.5555555555555556,0.7777777777777778
23157,9,9,0.6666666666666666,0.5555555555555556
23197,9,9,0.6666666666666666,0.5555555555555556
23220,9,9,0.7777777777777778,0.7777777777777778
23233,9,9,0.6666666666666666,0.6666666666666666
23321,9,9,0.6666666666666666,0.5555555555555556
23352,9,9,0.8888888888888888,0.6666666666666666
23362,9,9,0.0,0.5555555555555556
23372,9,9,0.8888888888888888,0.5555555555555556
23386,9,9,1.0,0.5555555555555556
23464,9,8,0.875,0.8888888888888888
