agent_id,w_v1,w_v2,w_v3,n_preferences,cluster_kmeans,cluster_hierarchical,cluster_gmm
14576,0.0,0.1388778243555174,0.8611221756444826,9,2,2,0
14619,0.0,0.0594945115323692,0.9405054884676308,9,2,2,0
14642,1.0,0.0,0.0,9,1,1,2
14700,1.0,0.0,0.0,9,1,1,2
14723,0.0,0.5289429519508162,0.4710570480491838,9,0,0,0
14727,0.0,0.9719712715288802,0.0280287284711198,9,0,0,0
14728,0.0,0.0163958917191822,0.9836041082808178,9,2,2,0
14735,0.0,0.0175011837358402,0.9824988162641598,9,2,2,0
14742,0.0,0.1444191277593494,0.8555808722406506,9,2,2,0
14751,0.0,0.4715934349231766,0.5284065650768235,9,0,0,0
14754,0.3834540825626961,0.0,0.6165459174373039,9,2,2,2
14785,0.0130569503278521,0.0269530063789227,0.9599900432932252,9,2,2,1
14787,0.0894796284513643,0.0,0.9105203715486356,9,2,2,2
14802,0.0,1.0,0.0,9,0,0,0
14817,0.535370554405847,0.0104116421262468,0.4542178034679061,9,1,1,1
14823,0.0,1.0,0.0,9,0,0,0
14831,0.5809017349424224,0.0,0.4190982650575776,9,1,1,2
14845,0.0,0.1361735835415382,0.8638264164584617,9,2,2,0
14951,0.0,0.0821562928111152,0.9178437071888847,9,2,2,0
14967,0.0,1.0,0.0,9,0,0,0
14992,0.0,0.0532123530326875,0.9467876469673124,9,2,2,0
15009,0.1023639903578007,0.0,0.8976360096421993,9,2,2,2
